"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";52084;8,23
"1-2";"Coronavac";153311;24,21
"1-2";"Janssen";373;0,06
"1-2";"Pend_Ident";30977;4,89
"1-2";"Pfizer";352197;55,63
"1-2";"Pfizer_ped";44192;6,98
"3-4";"AZ";465634;44,14
"3-4";"Coronavac";254714;24,15
"3-4";"Janssen";2076;0,2
"3-4";"Pend_Ident";545;0,05
"3-4";"Pfizer";331824;31,46
"3-4";"Pfizer_ped";31;0
"5-6";"AZ";466942;63,82
"5-6";"Coronavac";174780;23,89
"5-6";"Janssen";1273;0,17
"5-6";"Pend_Ident";145;0,02
"5-6";"Pfizer";88498;12,1
"5-6";"Pfizer_ped";12;0
"7+";"AZ";194139;61,3
"7+";"Coronavac";106407;33,6
"7+";"Janssen";707;0,22
"7+";"Pend_Ident";35;0,01
"7+";"Pfizer";15431;4,87
"7+";"Pfizer_ped";3;0
