"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";37071;1,86
"1-2";"Coronavac";442422;22,19
"1-2";"Janssen";5174;0,26
"1-2";"Pend_Ident";208827;10,48
"1-2";"Pfizer";1114150;55,89
"1-2";"Pfizer_ped";185742;9,32
"1-2";"Pfizer_ped_abx_5";6;0
"3-4";"AZ";1004517;26,36
"3-4";"Coronavac";1068030;28,03
"3-4";"Janssen";40398;1,06
"3-4";"Pend_Ident";11453;0,3
"3-4";"Pfizer";1685438;44,24
"3-4";"Pfizer_ped";213;0,01
"5-6";"AZ";1832744;56,42
"5-6";"Coronavac";446069;13,73
"5-6";"Janssen";31673;0,98
"5-6";"Pend_Ident";4110;0,13
"5-6";"Pfizer";933447;28,74
"5-6";"Pfizer_ped";104;0
"5-6";"Pfizer_ped_abx_5";1;0
"7+";"AZ";769963;37,97
"7+";"Coronavac";1097385;54,12
"7+";"Janssen";12396;0,61
"7+";"Pend_Ident";890;0,04
"7+";"Pfizer";147076;7,25
"7+";"Pfizer_ped";22;0
