"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";51543;1,83
"1-2";"Coronavac";707652;25,09
"1-2";"Janssen";6484;0,23
"1-2";"Pend_Ident";330969;11,73
"1-2";"Pfizer";1469519;52,1
"1-2";"Pfizer_ped";254384;9,02
"1-2";"Pfizer_ped_abx_5";7;0
"3-4";"AZ";1510685;27,45
"3-4";"Coronavac";1386281;25,19
"3-4";"Janssen";37941;0,69
"3-4";"Pend_Ident";4005;0,07
"3-4";"Pfizer";2564558;46,6
"3-4";"Pfizer_ped";258;0
"3-4";"Pfizer_ped_abx_5";1;0
"5-6";"AZ";2974515;60,05
"5-6";"Coronavac";530209;10,7
"5-6";"Janssen";25718;0,52
"5-6";"Pend_Ident";806;0,02
"5-6";"Pfizer";1421886;28,71
"5-6";"Pfizer_ped";58;0
"7+";"AZ";1487717;42,5
"7+";"Coronavac";1817623;51,93
"7+";"Janssen";18262;0,52
"7+";"Pend_Ident";161;0
"7+";"Pfizer";176585;5,04
"7+";"Pfizer_ped";16;0
