"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";27669;1,97
"1-2";"Coronavac";313835;22,32
"1-2";"Janssen";4177;0,3
"1-2";"Pend_Ident";148714;10,58
"1-2";"Pfizer";795821;56,6
"1-2";"Pfizer_ped";115875;8,24
"1-2";"Pfizer_ped_abx_5";1;0
"3-4";"AZ";666789;26,17
"3-4";"Coronavac";715402;28,08
"3-4";"Janssen";34075;1,34
"3-4";"Pend_Ident";7754;0,3
"3-4";"Pfizer";1123517;44,1
"3-4";"Pfizer_ped";121;0
"3-4";"Pfizer_ped_abx_5";1;0
"5-6";"AZ";1224171;58,3
"5-6";"Coronavac";246324;11,73
"5-6";"Janssen";27272;1,3
"5-6";"Pend_Ident";2551;0,12
"5-6";"Pfizer";599548;28,55
"5-6";"Pfizer_ped";55;0
"7+";"AZ";496489;38,8
"7+";"Coronavac";672061;52,53
"7+";"Janssen";10474;0,82
"7+";"Pend_Ident";685;0,05
"7+";"Pfizer";99763;7,8
"7+";"Pfizer_ped";12;0
