"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";49065;2,45
"1-2";"Coronavac";394095;19,66
"1-2";"Janssen";3632;0,18
"1-2";"Pend_Ident";203279;10,14
"1-2";"Pfizer";1192892;59,52
"1-2";"Pfizer_ped";161292;8,05
"1-2";"Pfizer_ped_abx_5";1;0
"3-4";"AZ";1202079;27,98
"3-4";"Coronavac";1024587;23,85
"3-4";"Janssen";26428;0,62
"3-4";"Pend_Ident";3621;0,08
"3-4";"Pfizer";2039060;47,46
"3-4";"Pfizer_ped";199;0
"3-4";"Pfizer_ped_abx_5";1;0
"5-6";"AZ";2151682;54,13
"5-6";"Coronavac";480210;12,08
"5-6";"Janssen";20021;0,5
"5-6";"Pend_Ident";1066;0,03
"5-6";"Pfizer";1322339;33,26
"5-6";"Pfizer_ped";58;0
"7+";"AZ";1082063;37,39
"7+";"Coronavac";1549677;53,55
"7+";"Janssen";11541;0,4
"7+";"Pend_Ident";261;0,01
"7+";"Pfizer";250068;8,64
"7+";"Pfizer_ped";12;0
