"faixa";"vacina";"ag_10";"faixa_perc"
"1-2";"AZ";151013;2,1
"1-2";"Coronavac";2475927;34,49
"1-2";"Janssen";4279;0,06
"1-2";"Pend_Ident";453283;6,31
"1-2";"Pfizer";3806188;53,02
"1-2";"Pfizer_ped";288410;4,02
"1-2";"Pfizer_ped_abx_5";45;0
"3-4";"AZ";2831966;21,12
"3-4";"Coronavac";6174929;46,05
"3-4";"Janssen";37138;0,28
"3-4";"Pend_Ident";71;0
"3-4";"Pfizer";4364004;32,55
"3-4";"Pfizer_ped";44;0
"5-6";"AZ";6194221;52,94
"5-6";"Coronavac";2160706;18,47
"5-6";"Janssen";22868;0,2
"5-6";"Pend_Ident";18;0
"5-6";"Pfizer";3322365;28,4
"5-6";"Pfizer_ped";7;0
"7+";"AZ";3302370;44,59
"7+";"Coronavac";3723883;50,28
"7+";"Janssen";20541;0,28
"7+";"Pend_Ident";19;0
"7+";"Pfizer";359022;4,85
"7+";"Pfizer_ped";12;0
