"agegroup";"vacina";"ag_10";"age10per"
1;"AZ";589;0,084
1;"Coronavac";311690;44,538
1;"Janssen";189;0,027
1;"Pend_Ident";217780;31,119
1;"Pfizer";2468;0,353
1;"Pfizer_ped";167107;23,878
1;"Pfizer_ped_abx_5";6;0,001
2;"AZ";50888;2,41
2;"Coronavac";391502;18,541
2;"Janssen";6278;0,297
2;"Pend_Ident";113189;5,36
2;"Pfizer";1465911;69,423
2;"Pfizer_ped";83787;3,968
3;"AZ";507564;18,886
3;"Coronavac";774729;28,827
3;"Janssen";21633;0,805
3;"Pend_Ident";2772;0,103
3;"Pfizer";1380687;51,374
3;"Pfizer_ped";136;0,005
3;"Pfizer_ped_abx_5";1;0
4;"AZ";1002641;35,624
4;"Coronavac";611362;21,722
4;"Janssen";16195;0,575
4;"Pend_Ident";1233;0,044
4;"Pfizer";1182983;42,031
4;"Pfizer_ped";121;0,004
5;"AZ";1442700;56,168
5;"Coronavac";304495;11,855
5;"Janssen";13873;0,54
5;"Pend_Ident";545;0,021
5;"Pfizer";806899;31,415
5;"Pfizer_ped";40;0,002
6;"AZ";1531459;64,243
6;"Coronavac";225682;9,467
6;"Janssen";11766;0,494
6;"Pend_Ident";261;0,011
6;"Pfizer";614677;25,785
6;"Pfizer_ped";18;0,001
7;"AZ";1228193;63,006
7;"Coronavac";607575;31,168
7;"Janssen";10784;0,553
7;"Pend_Ident";93;0,005
7;"Pfizer";102682;5,268
7;"Pfizer_ped";7;0
8;"AZ";61328;5,944
8;"Coronavac";917150;88,889
8;"Janssen";5001;0,485
8;"Pend_Ident";46;0,004
8;"Pfizer";48266;4,678
8;"Pfizer_ped";4;0
9;"AZ";178391;41,602
9;"Coronavac";227116;52,965
9;"Janssen";1988;0,464
9;"Pend_Ident";16;0,004
9;"Pfizer";21290;4,965
10;"AZ";19696;21,83
10;"Coronavac";65778;72,906
10;"Janssen";460;0,51
10;"Pend_Ident";6;0,007
10;"Pfizer";4278;4,742
10;"Pfizer_ped";5;0,006
