"agegroup";"vacina";"ag_10";"age10per"
1;"AZ";227;0,069
1;"Coronavac";130241;39,461
1;"Janssen";56;0,017
1;"Pend_Ident";95223;28,851
1;"Pfizer";27161;8,229
1;"Pfizer_ped";77138;23,372
1;"Pfizer_ped_abx_5";1;0
2;"AZ";27362;2,56
2;"Coronavac";179160;16,76
2;"Janssen";4113;0,385
2;"Pend_Ident";53491;5,004
2;"Pfizer";767676;71,815
2;"Pfizer_ped";37161;3,476
3;"AZ";218995;17,311
3;"Coronavac";417329;32,989
3;"Janssen";16807;1,329
3;"Pend_Ident";4939;0,39
3;"Pfizer";606901;47,975
3;"Pfizer_ped";74;0,006
3;"Pfizer_ped_abx_5";1;0
4;"AZ";447275;34,911
4;"Coronavac";297837;23,247
4;"Janssen";17227;1,345
4;"Pend_Ident";2815;0,22
4;"Pfizer";515983;40,274
4;"Pfizer_ped";46;0,004
5;"AZ";574709;50,592
5;"Coronavac";162888;14,339
5;"Janssen";15579;1,371
5;"Pend_Ident";1643;0,145
5;"Pfizer";381123;33,55
5;"Pfizer_ped";36;0,003
6;"AZ";649098;67,389
6;"Coronavac";83348;8,653
6;"Janssen";11665;1,211
6;"Pend_Ident";908;0,094
6;"Pfizer";218174;22,651
6;"Pfizer_ped";16;0,002
7;"AZ";326416;46,679
7;"Coronavac";308167;44,069
7;"Janssen";5991;0,857
7;"Pend_Ident";410;0,059
7;"Pfizer";58292;8,336
7;"Pfizer_ped";6;0,001
8;"AZ";49453;12,63
8;"Coronavac";312674;79,858
8;"Janssen";2672;0,682
8;"Pend_Ident";193;0,049
8;"Pfizer";26542;6,779
8;"Pfizer_ped";5;0,001
9;"AZ";94020;60,283
9;"Coronavac";48017;30,787
9;"Janssen";1475;0,946
9;"Pend_Ident";65;0,042
9;"Pfizer";12388;7,943
10;"AZ";26513;81,556
10;"Coronavac";3188;9,807
10;"Janssen";329;1,012
10;"Pend_Ident";17;0,052
10;"Pfizer";2461;7,57
10;"Pfizer_ped";1;0,003
