"sg_uf","age_clas","N.srag","N.covid"
"AC","0-4",88,8
"AC","10-14",31,2
"AC","15-19",33,13
"AC","20-24",69,40
"AC","25-29",125,91
"AC","30-34",189,154
"AC","35-39",243,195
"AC","40-44",304,256
"AC","45-49",269,226
"AC","5-9",33,6
"AC","50-54",302,254
"AC","55-59",312,258
"AC","60-64",308,256
"AC","65-69",299,249
"AC","70-74",240,187
"AC","75-79",191,146
"AC","80-84",174,122
"AC","85-89",68,47
"AC","90+",54,37
"AL","0-4",831,221
"AL","10-14",142,33
"AL","15-19",138,61
"AL","20-24",303,164
"AL","25-29",512,347
"AL","30-34",805,601
"AL","35-39",1164,915
"AL","40-44",1439,1139
"AL","45-49",1542,1233
"AL","5-9",304,81
"AL","50-54",1696,1360
"AL","55-59",1789,1402
"AL","60-64",1560,1168
"AL","65-69",1556,1137
"AL","70-74",1304,931
"AL","75-79",1137,755
"AL","80-84",807,539
"AL","85-89",504,299
"AL","90+",331,176
"AM","0-4",713,266
"AM","10-14",162,75
"AM","15-19",264,162
"AM","20-24",466,327
"AM","25-29",802,644
"AM","30-34",1078,894
"AM","35-39",1450,1241
"AM","40-44",1772,1577
"AM","45-49",1801,1567
"AM","5-9",385,155
"AM","50-54",1922,1708
"AM","55-59",2015,1775
"AM","60-64",1939,1663
"AM","65-69",1880,1596
"AM","70-74",1504,1249
"AM","75-79",1266,1024
"AM","80-84",937,757
"AM","85-89",637,506
"AM","90+",420,328
"AP","0-4",129,97
"AP","10-14",26,22
"AP","15-19",47,34
"AP","20-24",97,74
"AP","25-29",154,134
"AP","30-34",239,221
"AP","35-39",340,318
"AP","40-44",349,337
"AP","45-49",364,346
"AP","5-9",47,34
"AP","50-54",343,327
"AP","55-59",335,323
"AP","60-64",271,258
"AP","65-69",204,193
"AP","70-74",147,140
"AP","75-79",116,111
"AP","80-84",102,95
"AP","85-89",43,39
"AP","90+",34,29
"BA","0-4",2418,444
"BA","10-14",494,128
"BA","15-19",415,220
"BA","20-24",799,511
"BA","25-29",1347,1019
"BA","30-34",2365,1945
"BA","35-39",3895,3299
"BA","40-44",4591,3969
"BA","45-49",4685,3994
"BA","5-9",1149,214
"BA","50-54",5022,4284
"BA","55-59",5503,4622
"BA","60-64",4742,3842
"BA","65-69",4366,3462
"BA","70-74",4158,3221
"BA","75-79",3535,2616
"BA","80-84",2993,2136
"BA","85-89",1967,1338
"BA","90+",1602,1051
"CE","0-4",3823,374
"CE","10-14",931,99
"CE","15-19",747,172
"CE","20-24",1007,457
"CE","25-29",1745,1029
"CE","30-34",2646,1671
"CE","35-39",3644,2423
"CE","40-44",3829,2548
"CE","45-49",3975,2670
"CE","5-9",1691,169
"CE","50-54",4607,3162
"CE","55-59",5242,3640
"CE","60-64",4433,3066
"CE","65-69",4481,3138
"CE","70-74",4444,3076
"CE","75-79",3398,2198
"CE","80-84",3100,1911
"CE","85-89",2074,1287
"CE","90+",1542,923
"DF","0-4",1820,129
"DF","10-14",282,38
"DF","15-19",187,112
"DF","20-24",374,284
"DF","25-29",810,680
"DF","30-34",1225,1082
"DF","35-39",1845,1649
"DF","40-44",2312,2084
"DF","45-49",2555,2313
"DF","5-9",713,57
"DF","50-54",2678,2451
"DF","55-59",2803,2530
"DF","60-64",2319,2041
"DF","65-69",2357,2060
"DF","70-74",2040,1747
"DF","75-79",1527,1204
"DF","80-84",1201,909
"DF","85-89",771,585
"DF","90+",559,403
"ES","0-4",386,30
"ES","10-14",56,8
"ES","15-19",59,22
"ES","20-24",90,50
"ES","25-29",191,131
"ES","30-34",319,239
"ES","35-39",532,407
"ES","40-44",599,462
"ES","45-49",662,514
"ES","5-9",168,14
"ES","50-54",736,584
"ES","55-59",935,717
"ES","60-64",916,658
"ES","65-69",1029,743
"ES","70-74",877,634
"ES","75-79",709,507
"ES","80-84",588,362
"ES","85-89",406,222
"ES","90+",319,168
"GO","0-4",1096,182
"GO","10-14",318,102
"GO","15-19",433,277
"GO","20-24",947,732
"GO","25-29",1955,1654
"GO","30-34",3054,2723
"GO","35-39",4434,3966
"GO","40-44",5250,4730
"GO","45-49",5464,4963
"GO","5-9",532,97
"GO","50-54",6033,5425
"GO","55-59",6432,5730
"GO","60-64",5261,4562
"GO","65-69",5046,4308
"GO","70-74",4333,3634
"GO","75-79",3616,2890
"GO","80-84",2826,2219
"GO","85-89",1821,1430
"GO","90+",1078,808
"MA","0-4",339,78
"MA","10-14",103,37
"MA","15-19",128,63
"MA","20-24",315,207
"MA","25-29",538,378
"MA","30-34",853,652
"MA","35-39",1176,886
"MA","40-44",1291,990
"MA","45-49",1365,1053
"MA","5-9",171,41
"MA","50-54",1549,1191
"MA","55-59",1642,1266
"MA","60-64",1587,1232
"MA","65-69",1615,1217
"MA","70-74",1360,1039
"MA","75-79",1141,832
"MA","80-84",869,629
"MA","85-89",595,426
"MA","90+",408,293
"MG","0-4",5732,657
"MG","10-14",1112,224
"MG","15-19",981,431
"MG","20-24",2324,1341
"MG","25-29",4184,2890
"MG","30-34",6911,5143
"MG","35-39",10093,7827
"MG","40-44",12507,9785
"MG","45-49",13677,10618
