"sg_uf","age_clas","N.srag.cases","N.covid.cases","N.srag.deaths","N.covid.deaths"
"AC","15-19",33,13,6,4
"AC","20-24",69,40,8,5
"AC","25-29",125,91,20,16
"AC","30-34",189,154,27,22
"AC","35-39",243,195,41,37
"AC","40-44",304,256,64,58
"AC","45-49",269,226,75,63
"AC","50-54",302,254,91,72
"AC","55-59",312,258,107,96
"AC","60-64",308,256,127,113
"AC","65-69",299,249,139,121
"AC","70-74",240,187,116,100
"AC","75-79",191,146,107,85
"AC","80-84",174,122,102,76
"AC","85-89",68,47,40,29
"AC","90+",54,37,36,27
"AL","0-4",831,221,39,17
"AL","10-14",142,33,9,5
"AL","15-19",138,61,15,9
"AL","20-24",303,164,32,20
"AL","25-29",512,347,63,45
"AL","30-34",805,601,89,69
"AL","35-39",1164,915,161,140
"AL","40-44",1439,1139,209,179
"AL","45-49",1542,1233,261,227
"AL","5-9",304,81,14,5
"AL","50-54",1696,1360,351,306
"AL","55-59",1789,1402,414,350
"AL","60-64",1560,1168,414,331
"AL","65-69",1556,1137,517,410
"AL","70-74",1304,931,436,341
"AL","75-79",1137,755,447,350
"AL","80-84",807,539,319,260
"AL","85-89",504,299,225,168
"AL","90+",331,176,134,92
"AM","0-4",713,266,37,24
"AM","10-14",162,75,10,6
"AM","15-19",264,162,20,17
"AM","20-24",466,327,54,46
"AM","25-29",802,644,99,86
"AM","30-34",1078,894,164,148
"AM","35-39",1450,1241,279,254
"AM","40-44",1772,1577,409,381
"AM","45-49",1801,1567,479,439
"AM","5-9",385,155,12,6
"AM","50-54",1922,1708,588,550
"AM","55-59",2015,1775,755,701
"AM","60-64",1939,1663,851,777
"AM","65-69",1880,1596,909,819
"AM","70-74",1504,1249,844,756
"AM","75-79",1266,1024,722,648
"AM","80-84",937,757,587,516
"AM","85-89",637,506,457,408
"AM","90+",420,328,342,287
"AP","0-4",129,97,6,4
"AP","10-14",26,22,2,2
"AP","15-19",47,34,3,3
"AP","20-24",97,74,5,5
"AP","25-29",154,134,18,15
"AP","30-34",239,221,21,21
"AP","35-39",340,318,39,38
"AP","40-44",349,337,59,58
"AP","45-49",364,346,66,62
"AP","50-54",343,327,81,79
"AP","55-59",335,323,82,82
"AP","60-64",271,258,104,103
"AP","65-69",204,193,86,83
"AP","70-74",147,140,75,70
"AP","75-79",116,111,61,57
"AP","80-84",102,95,55,54
"AP","85-89",43,39,25,23
"AP","90+",34,29,23,20
"BA","0-4",2418,444,56,29
"BA","10-14",494,128,15,9
"BA","15-19",415,220,46,34
"BA","20-24",799,511,83,63
"BA","25-29",1347,1019,162,140
"BA","30-34",2365,1945,322,285
"BA","35-39",3895,3299,555,485
"BA","40-44",4591,3969,794,703
"BA","45-49",4685,3994,1022,904
"BA","5-9",1149,214,23,11
"BA","50-54",5022,4284,1188,1054
"BA","55-59",5503,4622,1472,1265
"BA","60-64",4742,3842,1504,1315
"BA","65-69",4366,3462,1621,1379
"BA","70-74",4158,3221,1634,1385
"BA","75-79",3535,2616,1538,1282
"BA","80-84",2993,2136,1364,1113
"BA","85-89",1967,1338,995,770
"BA","90+",1602,1051,864,660
"CE","0-4",3823,374,124,57
"CE","10-14",931,99,34,13
"CE","15-19",747,172,46,27
"CE","20-24",1007,457,88,77
"CE","25-29",1745,1029,197,172
"CE","30-34",2646,1671,307,272
"CE","35-39",3644,2423,531,485
"CE","40-44",3829,2548,622,562
"CE","45-49",3975,2670,818,733
"CE","5-9",1691,169,45,25
"CE","50-54",4607,3162,1083,994
