"sg_uf","age_clas","ihfr.srag","ihfr.covid"
"AC","age_0_19",0.171717171717172,0.259259259259259
"AL","age_0_19",0.106194690265487,0.175824175824176
"AM","age_0_19",0.063261480787254,0.0728033472803347
"AP","age_0_19",0.0343007915567282,0.0215384615384615
"BA","age_0_19",0.0724112961622013,0.111111111111111
"CE","age_0_19",0.0587912087912088,0.128205128205128
"DF","age_0_19",0.0221741481882098,0.0303030303030303
"ES","age_0_19",0.0833333333333333,0.236559139784946
"GO","age_0_19",0.0473404255319149,0.0955631399317406
"MA","age_0_19",0.103929024081115,0.184931506849315
"MG","age_0_19",0.0248515160987809,0.0643564356435644
"MS","age_0_19",0.0394295302013423,0.0514705882352941
"MT","age_0_19",0.0793650793650794,0.114427860696517
NA,"age_0_19",0.153846153846154,0
"PA","age_0_19",0.0828924162257496,0.108982035928144
"PB","age_0_19",0.0677837014470678,0.0896057347670251
"PE","age_0_19",0.0547134059687352,0.109159347553325
"PI","age_0_19",0.0854961832061069,0.114942528735632
"PR","age_0_19",0.0276055211042208,0.0603448275862069
"RJ","age_0_19",0.051007556675063,0.115100316789863
"RN","age_0_19",0.0544611819235226,0.0975609756097561
"RO","age_0_19",0.102649006622517,0.166666666666667
"RR","age_0_19",0.25,0.52
"RS","age_0_19",0.040529695024077,0.0616966580976864
"SC","age_0_19",0.0348712446351931,0.0688405797101449
"SE","age_0_19",0.234939759036145,0.279620853080569
"SP","age_0_19",0.0239167964966946,0.0451996040910591
"TO","age_0_19",0.0260869565217391,0.0529801324503311
"AC","age_20_59",0.165111940298507,0.200808625336927
"AL","age_20_59",0.284632641615255,0.290155440414508
"AM","age_20_59",0.270325724544755,0.284778540237056
"AP","age_20_59",0.212782540919719,0.211180124223602
"BA","age_20_59",0.244580870092466,0.244633768532861
"CE","age_20_59",0.237853107344633,0.244126659856997
"DF","age_20_59",0.132445545576546,0.136127744510978
"ES","age_20_59",0.347707049965777,0.391962174940898
"GO","age_20_59",0.181491530395248,0.193434814124469
"MA","age_20_59",0.253167701863354,0.300864815657715
"MG","age_20_59",0.142106630488122,0.160915951079886
"MS","age_20_59",0.131357084579821,0.148087206910736
"MT","age_20_59",0.169218372280419,0.182049326214086
NA,"age_20_59",0.294117647058824,0.290322580645161
"PA","age_20_59",0.214594091255397,0.22908076643221
"PB","age_20_59",0.241918103448276,0.252773375594295
"PE","age_20_59",0.229188363535375,0.238909008601177
"PI","age_20_59",0.189591078066914,0.203618304363249
"PR","age_20_59",0.129910766021555,0.143498045247709
"RJ","age_20_59",0.278337621497999,0.302913269441663
"RN","age_20_59",0.261432269197584,0.268843208383716
"RO","age_20_59",0.27593537414966,0.270967741935484
"RR","age_20_59",0.439324116743472,0.437389770723104
"RS","age_20_59",0.150766779525991,0.143954480796586
"SC","age_20_59",0.121777163904236,0.126673427991886
"SE","age_20_59",0.477900552486188,0.499335106382979
"SP","age_20_59",0.130740815067526,0.136890404657998
"TO","age_20_59",0.213048498845266,0.249787595581988
"AC","age_60+",0.436946902654867,0.506726457399103
"AL","age_60+",0.54017305315204,0.562138728323699
"AM","age_60+",0.592011656809805,0.611555829228243
"AP","age_60+",0.54323499491353,0.526674233825199
"BA","age_60+",0.491636671607029,0.519404125286478
"CE","age_60+",0.506103429063466,0.536144578313253
"DF","age_60+",0.401793812355135,0.423636844891477
"ES","age_60+",0.641629144494474,0.704092622509424
"GO","age_60+",0.450414473286138,0.486714358712315
"MA","age_60+",0.549391069012179,0.607282575985555
"MG","age_60+",0.353500946201676,0.44489727180869
"MS","age_60+",0.392009493670886,0.465342521280908
"MT","age_60+",0.408915662650602,0.443636363636364
NA,"age_60+",0.545454545454545,0.714285714285714
"PA","age_60+",0.525544169346997,0.56298307917276
"PB","age_60+",0.513981528989225,0.553070577451879
"PE","age_60+",0.492479653858041,0.58589800443459
"PI","age_60+",0.435340929643697,0.468468468468468
"PR","age_60+",0.330784216800907,0.425546143557735
"RJ","age_60+",0.581335577491698,0.621798569450854
"RN","age_60+",0.532377049180328,0.54909300316729
"RO","age_60+",0.575157894736842,0.574747474747475
"RR","age_60+",0.724581724581725,0.7217125382263
"RS","age_60+",0.392366314849654,0.445701245224984
"SC","age_60+",0.36969951418461,0.41892797319933
"SE","age_60+",0.72351160443996,0.766666666666667
"SP","age_60+",0.373116766690739,0.421975306161404
"TO","age_60+",0.495299356754082,0.562626946513202
