"sg_uf","age_clas","ihfr.srag","ihfr.covid"
"AC","age_0_19",0.105263157894737,0.142857142857143
"AL","age_0_19",0.0568592057761733,0.0869565217391304
"AM","age_0_19",0.0574620909816441,0.0854092526690391
"AP","age_0_19",0.0486725663716814,0.050561797752809
"BA","age_0_19",0.0359002466429159,0.0948379351740696
"CE","age_0_19",0.0827827438787408,0.185393258426966
"DF","age_0_19",0.0111495578623606,0.0315789473684211
"ES","age_0_19",0.0483091787439614,0.112903225806452
"GO","age_0_19",0.0496385542168675,0.0942760942760943
"MA","age_0_19",0.0974789915966387,0.109375
"MG","age_0_19",0.020306258322237,0.0645375914836993
"MS","age_0_19",0.0321100917431193,0.0570175438596491
"MT","age_0_19",0.0346820809248555,0.0436046511627907
NA,"age_0_19",0.272727272727273,0.5
"PA","age_0_19",0.05627425614489,0.0804794520547945
"PB","age_0_19",0.041699449252557,0.0544554455445545
"PE","age_0_19",0.0405982905982906,0.160535117056856
"PI","age_0_19",0.0451388888888889,0.0933333333333333
"PR","age_0_19",0.021259462071187,0.068695652173913
"RJ","age_0_19",0.0269574435862487,0.0776846915460777
"RN","age_0_19",0.0356234096692112,0.0852713178294574
"RO","age_0_19",0.10126582278481,0.12
"RR","age_0_19",0.25,0.461538461538462
"RS","age_0_19",0.0281852171412137,0.0763582966226138
"SC","age_0_19",0.0198183319570603,0.0773026315789474
"SE","age_0_19",0.178321678321678,0.251655629139073
"SP","age_0_19",0.0161987420499666,0.0536118801912912
"TO","age_0_19",0.0211981566820276,0.110091743119266
"AC","age_20_59",0.252392344497608,0.247066942719117
"AL","age_20_59",0.194530046224961,0.193752829334541
"AM","age_20_59",0.250215537886771,0.261141011840689
"AP","age_20_59",0.171344165435746,0.174832387828778
"BA","age_20_59",0.225380796809368,0.227274937989397
"CE","age_20_59",0.275624256837099,0.289618600856618
"DF","age_20_59",0.172679210076193,0.177788927914367
"ES","age_20_59",0.375085792724777,0.384180790960452
"GO","age_20_59",0.230305007339749,0.233798427650683
"MA","age_20_59",0.279416145367888,0.279450147903254
"MG","age_20_59",0.195351344067911,0.211049954266091
"MS","age_20_59",0.22559205500382,0.244861483467382
"MT","age_20_59",0.21345447121274,0.219147582697201
NA,"age_20_59",0.381443298969072,0.404761904761905
"PA","age_20_59",0.219453490018406,0.233969652471855
"PB","age_20_59",0.236936577582768,0.258275736631502
"PE","age_20_59",0.267841580323424,0.300325556158437
"PI","age_20_59",0.242775881683732,0.251442910915935
"PR","age_20_59",0.209298193663014,0.222910630710943
"RJ","age_20_59",0.294825860161231,0.310198636228876
"RN","age_20_59",0.28566475992373,0.284311838306064
"RO","age_20_59",0.325461088618983,0.337602706621556
"RR","age_20_59",0.335742444152431,0.339689265536723
"RS","age_20_59",0.215020424233476,0.21363127896447
"SC","age_20_59",0.167981534433459,0.175444506831368
"SE","age_20_59",0.390149060272197,0.396166134185303
"SP","age_20_59",0.204097307042013,0.21309541541303
"TO","age_20_59",0.296893908834207,0.326271186440678
"AC","age_60+",0.521319388576026,0.521823472356935
"AL","age_60+",0.404863846549067,0.407788230146576
"AM","age_60+",0.521584560690706,0.544816493639421
"AP","age_60+",0.468187274909964,0.4675
"BA","age_60+",0.459975557592423,0.483434796539571
"CE","age_60+",0.555811836115326,0.583237740177803
"DF","age_60+",0.407367044463819,0.424575424575425
"ES","age_60+",0.660972017673049,0.705882352941177
"GO","age_60+",0.465420991926182,0.481211799096466
"MA","age_60+",0.533421356659515,0.545181927229108
"MG","age_60+",0.403374721426297,0.462222619899785
"MS","age_60+",0.457915831663327,0.520231213872832
"MT","age_60+",0.454984477406002,0.464885358367936
NA,"age_60+",0.642857142857143,0.683544303797468
"PA","age_60+",0.50893537731854,0.543273013375295
"PB","age_60+",0.454215304798962,0.497883149872989
"PE","age_60+",0.470500512629322,0.576614733020723
"PI","age_60+",0.490690032858708,0.508060576453346
"PR","age_60+",0.401331215490508,0.465488298607682
"RJ","age_60+",0.55200037043897,0.578272965598416
"RN","age_60+",0.548895253682488,0.552253590886578
"RO","age_60+",0.591626213592233,0.607578253706755
"RR","age_60+",0.594246031746032,0.593607305936073
"RS","age_60+",0.474429988406544,0.495466401689231
"SC","age_60+",0.395234144542773,0.431493611081284
"SE","age_60+",0.630378096479791,0.670042851577717
"SP","age_60+",0.420712376860197,0.460119154200511
"TO","age_60+",0.550212765957447,0.604754829123328
