"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
3.33484,1.1087,0.5464,0.39603,0.61126,1.00566,1.24071,1.011,0.60503,0.44997,0.46712,0.41821,0.27785,0.20761,0.13424,0.06803
1.69947,8.82237,1.37143,0.43496,0.34611,0.86825,1.21165,1.20483,1.03051,0.5715,0.45797,0.3529,0.3047,0.19404,0.09877,0.06797
0.36294,2.52188,11.31869,1.08075,0.46733,0.54707,0.73412,1.08073,1.18787,0.77311,0.49547,0.3042,0.19042,0.157,0.11595,0.09659
0.25543,0.51899,3.60202,11.03996,1.70604,0.93143,0.74655,1.05028,1.16837,1.13427,0.60596,0.31749,0.17197,0.11298,0.06377,0.04314
0.38299,0.29968,0.37835,2.74937,4.50505,2.1524,1.40457,1.22646,1.06586,1.22639,0.83326,0.4901,0.21391,0.10018,0.10096,0.08189
0.70563,0.33094,0.19186,0.7464,2.16178,3.29487,2.04869,1.58509,1.30995,1.10487,1.05014,0.56972,0.27905,0.11077,0.05543,0.03328
0.78786,0.84879,0.6528,0.41073,1.15917,1.99789,2.70168,2.03776,1.54244,1.21216,0.98319,0.73343,0.39074,0.17465,0.08774,0.07787
0.80624,1.13657,1.00608,0.76195,0.84232,1.55368,1.95867,2.77525,2.17652,1.42355,1.03721,0.63501,0.48552,0.28117,0.16666,0.06591
0.54711,0.89208,1.12815,1.03436,1.07063,1.34564,1.77477,1.99414,2.52174,1.72315,1.19666,0.49063,0.39516,0.22541,0.15249,0.07113
0.32934,0.55246,0.70867,1.19117,1.06182,1.09727,1.26368,1.47099,1.53759,1.72232,1.15368,0.56069,0.28799,0.14826,0.12849,0.11082
0.50661,0.5202,0.71975,1.00451,1.19431,1.46095,1.2965,1.20657,1.57426,1.68124,1.46753,0.90372,0.3947,0.15656,0.11387,0.09638
0.8695,0.86728,0.58269,0.84881,0.95174,1.43507,1.50604,1.10345,1.15913,1.0156,1.21141,1.075,0.59192,0.25083,0.12411,0.08468
1.06043,0.97885,0.63577,0.6996,0.70455,1.04363,1.21288,1.22629,0.98453,0.79471,0.75516,0.85012,0.70722,0.40504,0.24384,0.09777
0.72962,1.03282,0.86693,0.52016,0.5572,0.67492,0.96369,0.94395,0.86892,0.46123,0.48518,0.51535,0.50346,0.4832,0.24313,0.11342
0.41874,1.0988,0.90396,0.86991,0.2577,0.49611,0.43497,0.78437,0.80731,0.64504,0.45484,0.31494,0.54291,0.4596,0.46499,0.22826
0.33265,0.45139,0.65872,0.62542,0.22327,0.18774,0.26863,0.41865,0.42663,0.43064,0.44324,0.22557,0.16015,0.23326,0.21183,0.1368
